brokered_by,price,bed,bath,house_size,status_sold,property_type_large,property_type_medium,property_type_small
62066,77500,3,1,957,1,0,0,1
72457,524900,3,2,2200,1,0,1,0
61711,90000,3,2,1421,1,0,0,1
49592,22500,2,1,850,1,0,0,1
72408,168000,6,4,3422,1,1,0,0
60830,200000,3,1,580,1,0,0,1
60830,380000,2,2,1210,1,0,0,1
64071,295000,3,2,1630,1,0,1,0
60830,250000,5,2,1210,1,0,0,1
18211,285000,4,3,2600,1,0,1,0
78468,66000,3,1,1376,1,0,0,1
103780,130000,3,1,847,1,0,0,1
31238,165000,2,1,696,1,0,0,1
80236,145000,2,2,1000,1,0,0,1
103954,179900,2,2,1097,1,0,0,1
16802,120000,4,2,1188,1,0,0,1
103780,70000,2,1,755,1,0,0,1
16782,6995000,4,7,5000,1,1,0,0
7832,915000,5,3,2850,1,0,1,0
18211,1185000,5,4,3700,1,1,0,0
49045,95000,3,1,1200,1,0,0,1
6378,133000,3,1,1049,1,0,0,1
60027,177000,2,2,4674,1,1,0,0
60027,220000,5,3,2992,1,0,1,0
49045,175000,3,3,3090,1,1,0,0
72457,54900,3,1,1200,1,0,0,1
3464,115000,3,2,1108,1,0,0,1
48572,850000,4,5,3963,1,1,0,0
32566,545000,3,3,1729,1,0,1,0
80236,2000000,3,3,2000,1,0,1,0
47983,399000,3,2,2300,1,0,1,0
47983,420000,3,2,2400,1,0,1,0
47983,170000,2,1,941,1,0,0,1
103954,230000,4,3,1996,1,0,1,0
49592,179000,3,2,1794,1,0,1,0
49045,102000,3,1,1500,1,0,1,0
88444,160000,4,4,2100,1,0,1,0
101,149000,3,2,2000,1,0,1,0
72457,159900,3,2,1600,1,0,1,0
16532,1399000,3,3,2732,1,0,1,0
16532,1200000,3,3,2732,1,0,1,0
18211,125000,3,2,1031,1,0,0,1
80212,250000,7,5,3178,1,1,0,0
101,420000,2,2,1190,1,0,0,1
77432,2750000,3,4,2820,1,0,1,0
61776,675000,2,2,1780,1,0,1,0
103848,225000,1,1,692,1,0,0,1
18211,225000,3,3,1588,1,0,1,0
18211,129500,3,2,1139,1,0,0,1
77725,128000,2,1,1776,1,0,1,0
18211,175000,3,4,1546,1,0,1,0
49592,70000,3,2,1000,1,0,0,1
18211,115000,3,2,1100,1,0,0,1
18211,565000,5,3,4020,1,1,0,0
18211,235000,4,3,2002,1,0,1,0
37047,215000,2,3,1526,1,0,1,0
16842,150000,4,3,1693,1,0,1,0
37047,182000,4,3,2200,1,0,1,0
7922,185000,3,2,1159,1,0,0,1
82827,45000,3,2,1190,1,0,0,1
88444,130000,3,2,1024,1,0,0,1
42976,325000,3,5,2616,1,0,1,0
85121,140000,4,3,2222,1,0,1,0
49592,68900,3,1,900,1,0,0,1
108671,100000,4,2,1449,1,0,0,1
108671,135000,3,3,1303,1,0,0,1
108671,237000,3,3,1855,1,0,1,0
108671,251000,4,5,2589,1,0,1,0
80236,185000,3,3,1600,1,0,1,0
75895,235000,3,3,2052,1,0,1,0
37047,125000,3,3,1324,1,0,0,1
75895,108000,3,1,992,1,0,0,1
3464,320000,4,4,3772,1,1,0,0
39523,175000,4,3,1831,1,0,1,0
15085,689000,4,5,5800,1,1,0,0
75895,75000,3,2,800,1,0,0,1
77432,795000,4,4,3514,1,1,0,0
7950,150000,3,2,1575,1,0,1,0
46469,460000,4,5,3250,1,1,0,0
60139,289000,2,2,1073,1,0,0,1
62066,95000,3,10,638,1,0,0,1
103848,330000,8,5,4371,1,1,0,0
29911,60000,3,1,814,1,0,0,1
29911,285000,4,3,1700,1,0,1,0
29911,149000,3,3,1592,1,0,1,0
18211,89900,5,3,2300,1,0,1,0
62066,185000,4,2,1632,1,0,1,0
88444,106995,3,2,1141,1,0,0,1
49592,57900,3,1,845,1,0,0,1
102719,160000,3,2,1200,1,0,0,1
18211,224900,4,3,1934,1,0,1,0
62413,90000,3,2,1004,1,0,0,1
3464,175000,3,2,1286,1,0,0,1
37047,350000,3,3,2829,1,0,1,0
49592,27900,3,1,820,1,0,0,1
103848,200000,4,4,4000,1,1,0,0
103954,110000,3,2,1157,1,0,0,1
15085,115000,3,2,1138,1,0,0,1
64071,450000,1,1,835,1,0,0,1
32511,450000,3,3,2220,1,0,1,0
48764,720000,2,2,1898,1,0,1,0
70306,330000,1,1,500,1,0,0,1
15085,105000,3,2,1138,1,0,0,1
12325,89900,2,2,900,1,0,0,1
77432,1350000,3,3,2032,1,0,1,0
29911,70900,3,1,244,1,0,0,1
29911,52400,3,1,774,1,0,0,1
85121,110000,3,2,1200,1,0,0,1
37047,125000,3,2,1374,1,0,0,1
29911,215000,4,3,301,1,0,0,1
102922,109900,3,2,1200,1,0,0,1
85121,130000,3,2,1015,1,0,0,1
85121,175000,3,3,2000,1,0,1,0
86059,490000,4,4,2700,1,0,1,0
75895,52900,3,1,848,1,0,0,1
96657,245000,4,4,2700,1,0,1,0
96657,250000,3,3,4336,1,1,0,0
75895,175000,3,2,1089,1,0,0,1
25107,154000,3,2,1160,1,0,0,1
71837,225000,2,2,1091,1,0,0,1
8431,385000,4,4,2000,1,0,1,0
46581,138000,1,1,625,1,0,0,1
23205,180000,3,2,1000,1,0,0,1
78005,568000,3,4,2000,1,0,1,0
78005,558000,4,3,4000,1,1,0,0
71837,169000,3,2,1448,1,0,0,1
46581,241000,2,3,1500,1,0,1,0
71837,949000,5,3,2795,1,0,1,0
23205,818000,12,14,4500,1,1,0,0
71837,549000,3,3,2411,1,0,1,0
23205,398800,5,2,1579,1,0,1,0
78005,748000,6,4,3500,1,1,0,0
8431,679000,3,3,2050,1,0,1,0
23205,895000,7,4,2400,1,0,1,0
12325,90000,3,1,1089,1,0,0,1
37047,99500,4,2,1175,1,0,0,1
103780,125000,3,2,890,1,0,0,1
75895,58000,3,2,875,1,0,0,1
5254,79000,3,2,7776,1,1,0,0
88444,80000,7,3,896,1,0,0,1
34754,105000,3,2,900,1,0,0,1
76109,183000,3,3,1804,1,0,1,0
85121,275000,3,3,2147,1,0,1,0
34754,112000,3,1,900,1,0,0,1
34754,120000,3,1,994,1,0,0,1
18211,57500,3,1,900,1,0,0,1
85121,225000,3,3,1207,1,0,0,1
55906,750000,3,3,3026,1,1,0,0
29911,72000,3,1,4843,1,1,0,0
75895,154000,3,2,2823,1,0,1,0
29911,63000,3,2,350,1,0,0,1
96657,225000,3,2,2496,1,0,1,0
32511,595000,4,5,3500,1,1,0,0
96657,195000,3,2,1596,1,0,1,0
75895,96000,3,2,1212,1,0,0,1
75124,495000,4,3,2386,1,0,1,0
67492,110000,3,2,1500,1,0,1,0
37047,175000,5,4,2100,1,0,1,0
108671,128000,2,2,1209,1,0,0,1
60192,305000,1,1,880,1,0,0,1
15085,128000,3,2,1270,1,0,0,1
15137,5000000,7,10,7500,1,1,0,0
15137,399000,2,2,178,1,0,0,1
2042,1195000,3,3,2600,1,0,1,0
75895,94900,3,1,700,1,0,0,1
85121,93500,2,1,900,1,0,0,1
80393,749000,2,3,1526,1,0,1,0
77432,1500000,3,3,1936,1,0,1,0
80393,2200000,6,5,3800,1,1,0,0
15137,695000,2,3,1740,1,0,1,0
77432,3200000,5,5,4738,1,1,0,0
17024,252500,6,4,3000,1,1,0,0
15137,495000,2,2,1706,1,0,1,0
15137,599000,3,3,2128,1,0,1,0
77432,3980000,6,7,4674,1,1,0,0
79649,995000,4,4,3556,1,1,0,0
15137,1250000,5,3,3200,1,1,0,0
15137,1600000,3,4,3200,1,1,0,0
80393,345000,3,2,2046,1,0,1,0
80393,270000,3,2,2060,1,0,1,0
62413,200000,3,3,2027,1,0,1,0
15137,495000,3,4,2000,1,0,1,0
17024,425000,3,3,2157,1,0,1,0
22968,180000,2,2,1118,1,0,0,1
22968,2950000,5,5,6545,1,1,0,0
79277,645000,3,3,2200,1,0,1,0
79277,229000,3,3,1400,1,0,0,1
22968,349000,2,2,1400,1,0,0,1
22968,267000,3,2,1820,1,0,1,0
22968,169000,2,1,829,1,0,0,1
22968,359000,2,2,1400,1,0,0,1
22968,2195000,4,4,5169,1,1,0,0
22968,339000,2,2,1200,1,0,0,1
17348,949000,6,5,7876,1,1,0,0
22968,165000,1,1,720,1,0,0,1
22968,99500,3,2,1075,1,0,0,1
79277,339000,4,3,2271,1,0,1,0
22968,275000,3,2,1058,1,0,0,1
34543,875000,7,8,14000,1,1,0,0
22968,1680000,3,3,4298,1,1,0,0
34543,395000,3,3,2066,1,0,1,0
22968,315000,2,2,1250,1,0,0,1
17348,320000,2,2,1250,1,0,0,1
28154,525000,2,1,879,1,0,0,1
2050,685000,2,2,1225,1,0,0,1
62413,95000,5,2,1814,1,0,1,0
28154,275000,2,1,1108,1,0,0,1
21485,495000,1,2,1281,1,0,0,1
77432,1100000,2,3,1535,1,0,1,0
26006,2475000,4,5,3816,1,1,0,0
28154,525000,3,1,843,1,0,0,1
101,795000,4,4,2276,1,0,1,0
46788,1895000,3,4,3985,1,1,0,0
82827,1950000,3,3,1861,1,0,1,0
77432,4900000,8,9,9242,1,1,0,0
77432,2700000,5,6,4249,1,1,0,0
28154,695000,2,2,1152,1,0,0,1
77434,1350000,3,2,1511,1,0,1,0
72454,147000,1,1,525,1,0,0,1
105759,495000,3,3,1460,1,0,0,1
38910,215000,1,1,500,1,0,0,1
48919,245000,1,1,597,1,0,0,1
77725,212000,1,1,828,1,0,0,1
37047,1600000,3,3,2713,1,0,1,0
37321,1800000,4,4,2500,1,0,1,0
37321,2890000,8,7,4000,1,1,0,0
46788,560000,2,2,1587,1,0,1,0
48572,485000,2,2,1100,1,0,0,1
3719,395000,2,1,900,1,0,0,1
77432,875000,2,2,1612,1,0,1,0
3719,2700000,4,4,2848,1,0,1,0
2050,725000,2,2,1515,1,0,1,0
77432,1045000,4,4,3527,1,1,0,0
101,375000,3,3,1444,1,0,0,1
64071,875000,3,3,2000,1,0,1,0
46788,1695000,4,4,2980,1,0,1,0
77432,1700000,4,5,2482,1,0,1,0
77432,949000,4,3,1792,1,0,1,0
48572,325000,2,2,953,1,0,0,1
48572,340000,3,2,1284,1,0,0,1
46788,725000,5,4,2238,1,0,1,0
48572,275000,2,2,1838,1,0,1,0
2050,695000,4,3,2524,1,0,1,0
26765,329000,2,1,1045,1,0,0,1
32511,995000,4,3,1500,1,0,1,0
77430,1750000,7,6,3128,1,1,0,0
99732,1825000,4,3,3180,1,1,0,0
103848,198000,2,1,860,1,0,0,1
46788,770000,3,3,1900,1,0,1,0
72216,305000,2,2,900,1,0,0,1
77432,695000,3,2,1289,1,0,0,1
85121,325000,3,2,1771,1,0,1,0
77431,825000,4,3,1547,1,0,1,0
46788,1295000,3,2,1900,1,0,1,0
72454,650000,3,2,1612,1,0,1,0
21485,2200000,5,4,2600,1,0,1,0
101,400000,2,1,1292,1,0,0,1
77432,635000,2,2,1532,1,0,1,0
77432,995000,4,4,2607,1,0,1,0
33447,4900000,8,9,5000,1,1,0,0
77431,850000,7,4,2540,1,0,1,0
96847,1650000,4,4,2366,1,0,1,0
62413,66000,4,1,900,1,0,0,1
15085,87000,2,2,892,1,0,0,1
61711,69900,5,3,300,1,0,0,1
0,499000,3,2,1800,1,0,1,0
22968,239000,2,2,1200,1,0,0,1
22968,219000,1,1,1100,1,0,0,1
79277,225000,2,2,1000,1,0,0,1
22968,170000,1,1,700,1,0,0,1
22968,779000,4,4,2690,1,0,1,0
22968,288000,2,2,1400,1,0,0,1
17348,190000,2,2,1200,1,0,0,1
17348,125000,1,1,800,1,0,0,1
22968,738000,3,2,1897,1,0,1,0
0,229500,1,1,1100,1,0,0,1
34543,398500,2,2,2411,1,0,1,0
29309,329000,2,2,1400,1,0,0,1
22968,369000,2,2,1400,1,0,0,1
22968,575000,2,3,2500,1,0,1,0
17348,998000,3,2,3000,1,1,0,0
34543,449000,2,3,1838,1,0,1,0
22968,188000,1,1,1200,1,0,0,1
22968,285500,1,2,1000,1,0,0,1
3464,130000,2,2,977,1,0,0,1
10890,155000,2,2,880,1,0,0,1
17348,489000,4,2,1812,1,0,1,0
17348,175000,2,2,720,1,0,0,1
34543,359000,2,2,1500,1,0,1,0
22968,979000,5,4,5000,1,1,0,0
22968,799000,3,4,2500,1,0,1,0
34543,369000,2,3,1000,1,0,0,1
22968,162500,1,1,1200,1,0,0,1
22968,799000,5,4,3833,1,1,0,0
22968,329000,2,2,1660,1,0,1,0
17348,239500,1,2,741,1,0,0,1
22968,330000,2,2,1335,1,0,0,1
22968,315000,2,2,1254,1,0,0,1
34543,330000,2,2,1250,1,0,0,1
34543,219000,1,1,1200,1,0,0,1
22968,229000,2,2,900,1,0,0,1
22968,650000,2,1,1543,1,0,1,0
67492,194900,4,2,1700,1,0,1,0
3719,465000,1,2,1247,1,0,0,1
32511,235000,3,3,2129,1,0,1,0
51673,550000,2,2,2094,1,0,1,0
72216,215000,2,2,1110,1,0,0,1
85121,200000,3,1,1200,1,0,0,1
46469,450000,2,2,1300,1,0,0,1
61711,240000,4,3,1790,1,0,1,0
3719,155000,1,1,929,1,0,0,1
85121,120000,3,1,806,1,0,0,1
102922,84900,3,1,950,1,0,0,1
29911,149000,4,4,1475,1,0,0,1
85121,128000,3,2,1170,1,0,0,1
18211,150000,4,2,1791,1,0,1,0
102922,84900,3,1,950,1,0,0,1
102922,44900,3,1,950,1,0,0,1
102922,113000,6,2,2400,1,0,1,0
29911,108000,3,2,510,1,0,0,1
85121,169900,3,2,1500,1,0,1,0
75895,94000,5,2,1200,1,0,0,1
102922,64000,3,1,950,1,0,0,1
49592,68000,3,2,900,1,0,0,1
64071,119500,3,2,1109,1,0,0,1
102922,109900,3,1,950,1,0,0,1
37826,109000,3,2,1100,1,0,0,1
21485,74000,3,1,1100,1,0,0,1
103848,220000,3,1,1500,1,0,1,0
15085,163000,5,3,2473,1,0,1,0
85121,1300000,6,6,5000,1,1,0,0
8373,170000,3,3,1500,1,0,1,0
29911,79000,3,1,688,1,0,0,1
64071,895000,4,5,2703,1,0,1,0
64071,175000,3,2,1200,1,0,0,1
46469,130000,3,3,1296,1,0,0,1
15085,115000,2,1,771,1,0,0,1
64071,329000,3,3,1822,1,0,1,0
64071,165000,3,2,1196,1,0,0,1
64071,650000,4,4,3543,1,1,0,0
101,185000,3,3,1581,1,0,1,0
29911,150000,3,2,430,1,0,0,1
82827,565000,5,4,3000,1,1,0,0
48919,525000,2,2,1184,1,0,0,1
3464,975000,4,3,3426,1,1,0,0
70306,159000,3,2,1500,1,0,1,0
64071,825000,4,4,3226,1,1,0,0
8677,315000,7,5,4429,1,1,0,0
49592,99900,3,1,837,1,0,0,1
103848,260000,3,3,3500,1,1,0,0
102922,99900,3,1,950,1,0,0,1
87436,170000,3,2,1600,1,0,1,0
60139,525000,5,6,3016,1,1,0,0
72216,215000,2,2,1110,1,0,0,1
85121,135000,3,3,1670,1,0,1,0
18211,115000,3,2,1250,1,0,0,1
12325,79900,4,2,1600,1,0,1,0
18211,23000,3,1,718,1,0,0,1
18211,198500,3,3,2015,1,0,1,0
46469,228225,3,3,1260,1,0,0,1
18211,125000,3,2,1137,1,0,0,1
61594,155000,3,2,1126,1,0,0,1
77725,220000,4,3,2200,1,0,1,0
18211,67900,3,1,1057,1,0,0,1
78468,79900,12,8,1000,1,0,0,1
41541,163000,3,2,1178,1,0,0,1
12325,55000,4,2,1100,1,0,0,1
48586,130000,3,2,1075,1,0,0,1
18211,139100,5,3,1202,1,0,0,1
21873,135000,3,2,1172,1,0,0,1
48586,125000,3,2,998,1,0,0,1
37047,115000,3,1,809,1,0,0,1
8586,152000,3,2,1390,1,0,0,1
18211,80000,4,3,1000,1,0,0,1
85121,112000,3,1,1027,1,0,0,1
12325,119000,3,2,1000,1,0,0,1
75895,121000,4,2,1257,1,0,0,1
18211,86400,3,2,1150,1,0,0,1
48763,425000,4,4,2906,1,0,1,0
37321,695000,3,3,2775,1,0,1,0
85121,125000,3,2,1277,1,0,0,1
75895,123000,3,1,1300,1,0,0,1
25107,106000,3,2,1129,1,0,0,1
48586,175000,3,3,1490,1,0,0,1
34754,85000,3,1,942,1,0,0,1
75895,201000,4,3,1944,1,0,1,0
46423,365000,4,3,2000,1,0,1,0
37826,895000,4,5,4000,1,1,0,0
3719,390000,4,3,1850,1,0,1,0
77432,2400000,4,7,3249,1,1,0,0
8373,585000,6,4,3173,1,1,0,0
84126,450000,4,5,2900,1,0,1,0
8586,168000,2,2,844,1,0,0,1
3464,135000,3,3,1730,1,0,1,0
8586,498000,3,3,2200,1,0,1,0
103848,255000,3,3,1692,1,0,1,0
8586,275000,3,2,1598,1,0,1,0
29911,289000,3,3,1601,1,0,1,0
60564,340000,3,4,2635,1,0,1,0
41020,270000,3,2,1335,1,0,0,1
72216,189900,2,2,1320,1,0,0,1
84126,1349000,3,5,4422,1,1,0,0
105759,390000,5,3,3000,1,1,0,0
75124,129000,3,2,1146,1,0,0,1
102922,126000,3,2,1200,1,0,0,1
102922,137000,3,1,950,1,0,0,1
29911,143000,4,3,147,1,0,0,1
102922,94900,3,1,950,1,0,0,1
60027,196500,4,3,1548,1,0,1,0
21485,750000,2,2,1324,1,0,0,1
103848,575000,2,2,1175,1,0,0,1
46469,499900,4,3,1640,1,0,1,0
103848,405000,3,3,1882,1,0,1,0
105542,465000,2,1,920,1,0,0,1
